,project,fuzzer,run,edges_found,hour
346,bsdtar,AFLPP+C,4,3406,11
347,bsdtar,AFLPP+C,4,3448,12
348,bsdtar,AFLPP+C,4,3735,13
349,bsdtar,AFLPP+C,4,3760,14
350,bsdtar,AFLPP+C,4,3775,15
351,bsdtar,AFLPP+C,4,3846,16
352,bsdtar,AFLPP+C,4,3862,17
353,bsdtar,AFLPP+C,4,3888,18
354,bsdtar,AFLPP+C,4,3914,19
355,bsdtar,AFLPP+C,4,3924,20
356,bsdtar,AFLPP+C,4,3924,21
357,bsdtar,AFLPP+C,4,4828,22
358,bsdtar,AFLPP+C,4,4933,23
359,bsdtar,AFLPP+C,4,4946,24
360,bsdtar,AFLPP+C,5,2400,1
361,bsdtar,AFLPP+C,5,2509,2
362,bsdtar,AFLPP+C,5,2509,3
363,bsdtar,AFLPP+C,5,2590,4
364,bsdtar,AFLPP+C,5,3365,5
365,bsdtar,AFLPP+C,5,3834,6
366,bsdtar,AFLPP+C,5,4542,7
367,bsdtar,AFLPP+C,5,4773,8
368,bsdtar,AFLPP+C,5,4844,9
369,bsdtar,AFLPP+C,5,4909,10
370,bsdtar,AFLPP+C,5,4915,11
371,bsdtar,AFLPP+C,5,4917,12
372,bsdtar,AFLPP+C,5,4934,13
373,bsdtar,AFLPP+C,5,4947,14
374,bsdtar,AFLPP+C,5,4953,15
375,bsdtar,AFLPP+C,5,5195,16
376,bsdtar,AFLPP+C,5,5253,17
377,bsdtar,AFLPP+C,5,5262,18
378,bsdtar,AFLPP+C,5,5334,19
379,bsdtar,AFLPP+C,5,5340,20
380,bsdtar,AFLPP+C,5,5350,21
381,bsdtar,AFLPP+C,5,5379,22
382,bsdtar,AFLPP+C,5,5382,23
383,bsdtar,AFLPP+C,5,5386,24
384,bsdtar,AFLPP+C,6,2344,1
385,bsdtar,AFLPP+C,6,2745,2
386,bsdtar,AFLPP+C,6,3744,3
387,bsdtar,AFLPP+C,6,3976,4
388,bsdtar,AFLPP+C,6,4112,5
389,bsdtar,AFLPP+C,6,4197,6
390,bsdtar,AFLPP+C,6,4201,7
391,bsdtar,AFLPP+C,6,4326,8
392,bsdtar,AFLPP+C,6,4354,9
393,bsdtar,AFLPP+C,6,4357,10
394,bsdtar,AFLPP+C,6,4366,11
395,bsdtar,AFLPP+C,6,4428,12
396,bsdtar,AFLPP+C,6,4451,13
397,bsdtar,AFLPP+C,6,4452,14
398,bsdtar,AFLPP+C,6,4469,15
399,bsdtar,AFLPP+C,6,4470,16
400,bsdtar,AFLPP+C,6,4475,17
401,bsdtar,AFLPP+C,6,4479,18
402,bsdtar,AFLPP+C,6,4479,19
403,bsdtar,AFLPP+C,6,4482,20
404,bsdtar,AFLPP+C,6,4803,21
405,bsdtar,AFLPP+C,6,4844,22
406,bsdtar,AFLPP+C,6,4864,23
407,bsdtar,AFLPP+C,6,4884,24
408,bsdtar,AFLPP+C,7,2382,1
409,bsdtar,AFLPP+C,7,2534,2
410,bsdtar,AFLPP+C,7,2748,3
411,bsdtar,AFLPP+C,7,2769,4
412,bsdtar,AFLPP+C,7,2848,5
413,bsdtar,AFLPP+C,7,2897,6
414,bsdtar,AFLPP+C,7,2897,7
415,bsdtar,AFLPP+C,7,2957,8
416,bsdtar,AFLPP+C,7,2964,9
417,bsdtar,AFLPP+C,7,2972,10
418,bsdtar,AFLPP+C,7,2973,11
419,bsdtar,AFLPP+C,7,3004,12
420,bsdtar,AFLPP+C,7,3228,13
421,bsdtar,AFLPP+C,7,3262,14
422,bsdtar,AFLPP+C,7,3294,15
423,bsdtar,AFLPP+C,7,3307,16
424,bsdtar,AFLPP+C,7,3319,17
425,bsdtar,AFLPP+C,7,3329,18
426,bsdtar,AFLPP+C,7,3338,19
427,bsdtar,AFLPP+C,7,4614,20
428,bsdtar,AFLPP+C,7,4772,21
429,bsdtar,AFLPP+C,7,4854,22
430,bsdtar,AFLPP+C,7,4874,23
431,bsdtar,AFLPP+C,7,4914,24
432,bsdtar,AFLPP+C,8,2444,1
433,bsdtar,AFLPP+C,8,2612,2
434,bsdtar,AFLPP+C,8,3634,3
435,bsdtar,AFLPP+C,8,4200,4
436,bsdtar,AFLPP+C,8,4264,5
437,bsdtar,AFLPP+C,8,4284,6
438,bsdtar,AFLPP+C,8,4309,7
439,bsdtar,AFLPP+C,8,4391,8
440,bsdtar,AFLPP+C,8,4402,9
441,bsdtar,AFLPP+C,8,4425,10
442,bsdtar,AFLPP+C,8,4437,11
443,bsdtar,AFLPP+C,8,4437,12
444,bsdtar,AFLPP+C,8,4438,13
445,bsdtar,AFLPP+C,8,4439,14
446,bsdtar,AFLPP+C,8,4440,15
447,bsdtar,AFLPP+C,8,4634,16
448,bsdtar,AFLPP+C,8,4641,17
449,bsdtar,AFLPP+C,8,4646,18
450,bsdtar,AFLPP+C,8,4868,19
451,bsdtar,AFLPP+C,8,4989,20
452,bsdtar,AFLPP+C,8,5012,21
453,bsdtar,AFLPP+C,8,5072,22
454,bsdtar,AFLPP+C,8,5074,23
455,bsdtar,AFLPP+C,8,5085,24
456,bsdtar,AFLPP+C,9,2346,1
457,bsdtar,AFLPP+C,9,2495,2
458,bsdtar,AFLPP+C,9,2579,3
459,bsdtar,AFLPP+C,9,2593,4
460,bsdtar,AFLPP+C,9,2740,5
461,bsdtar,AFLPP+C,9,2740,6
462,bsdtar,AFLPP+C,9,2798,7
463,bsdtar,AFLPP+C,9,2803,8
464,bsdtar,AFLPP+C,9,2809,9
465,bsdtar,AFLPP+C,9,3565,10
466,bsdtar,AFLPP+C,9,3588,11
467,bsdtar,AFLPP+C,9,3810,12
468,bsdtar,AFLPP+C,9,3846,13
469,bsdtar,AFLPP+C,9,3849,14
470,bsdtar,AFLPP+C,9,3856,15
471,bsdtar,AFLPP+C,9,3883,16
472,bsdtar,AFLPP+C,9,3905,17
473,bsdtar,AFLPP+C,9,3920,18
474,bsdtar,AFLPP+C,9,3920,19
475,bsdtar,AFLPP+C,9,3932,20
476,bsdtar,AFLPP+C,9,3939,21
477,bsdtar,AFLPP+C,9,3963,22
478,bsdtar,AFLPP+C,9,3963,23
479,bsdtar,AFLPP+C,9,3963,24
480,bsdtar,AFLPP+CD,0,3759,1
481,bsdtar,AFLPP+CD,0,4615,2
482,bsdtar,AFLPP+CD,0,4938,3
483,bsdtar,AFLPP+CD,0,5353,4
484,bsdtar,AFLPP+CD,0,5424,5
485,bsdtar,AFLPP+CD,0,5491,6
486,bsdtar,AFLPP+CD,0,5674,7
487,bsdtar,AFLPP+CD,0,6314,8
488,bsdtar,AFLPP+CD,0,6373,9
489,bsdtar,AFLPP+CD,0,6388,10
490,bsdtar,AFLPP+CD,0,6433,11
491,bsdtar,AFLPP+CD,0,6733,12
492,bsdtar,AFLPP+CD,0,6784,13
493,bsdtar,AFLPP+CD,0,6927,14
494,bsdtar,AFLPP+CD,0,7026,15
495,bsdtar,AFLPP+CD,0,7055,16
496,bsdtar,AFLPP+CD,0,7063,17
497,bsdtar,AFLPP+CD,0,7135,18
498,bsdtar,AFLPP+CD,0,7162,19
499,bsdtar,AFLPP+CD,0,7194,20
500,bsdtar,AFLPP+CD,0,7202,21
501,bsdtar,AFLPP+CD,0,7281,22
502,bsdtar,AFLPP+CD,0,7324,23
503,bsdtar,AFLPP+CD,0,7341,24
504,bsdtar,AFLPP+CD,1,4088,1
505,bsdtar,AFLPP+CD,1,4562,2
506,bsdtar,AFLPP+CD,1,5012,3
507,bsdtar,AFLPP+CD,1,5306,4
508,bsdtar,AFLPP+CD,1,5431,5
509,bsdtar,AFLPP+CD,1,5819,6
510,bsdtar,AFLPP+CD,1,6009,7
511,bsdtar,AFLPP+CD,1,6044,8
512,bsdtar,AFLPP+CD,1,6094,9
513,bsdtar,AFLPP+CD,1,7242,10
514,bsdtar,AFLPP+CD,1,7553,11
515,bsdtar,AFLPP+CD,1,7710,12
516,bsdtar,AFLPP+CD,1,7767,13
517,bsdtar,AFLPP+CD,1,7770,14
518,bsdtar,AFLPP+CD,1,7800,15
519,bsdtar,AFLPP+CD,1,7852,16
520,bsdtar,AFLPP+CD,1,7863,17
521,bsdtar,AFLPP+CD,1,7953,18
522,bsdtar,AFLPP+CD,1,7964,19
523,bsdtar,AFLPP+CD,1,7970,20
524,bsdtar,AFLPP+CD,1,7984,21
525,bsdtar,AFLPP+CD,1,7994,22
526,bsdtar,AFLPP+CD,1,8010,23
527,bsdtar,AFLPP+CD,1,8069,24
528,bsdtar,AFLPP+CD,2,3841,1
529,bsdtar,AFLPP+CD,2,4596,2
530,bsdtar,AFLPP+CD,2,5091,3
531,bsdtar,AFLPP+CD,2,5546,4
532,bsdtar,AFLPP+CD,2,6334,5
533,bsdtar,AFLPP+CD,2,6481,6
534,bsdtar,AFLPP+CD,2,6566,7
535,bsdtar,AFLPP+CD,2,7006,8
536,bsdtar,AFLPP+CD,2,7298,9
537,bsdtar,AFLPP+CD,2,7422,10
538,bsdtar,AFLPP+CD,2,7490,11
539,bsdtar,AFLPP+CD,2,7722,12
540,bsdtar,AFLPP+CD,2,7748,13
541,bsdtar,AFLPP+CD,2,7777,14
542,bsdtar,AFLPP+CD,2,7925,15
543,bsdtar,AFLPP+CD,2,8513,16
544,bsdtar,AFLPP+CD,2,8524,17
545,bsdtar,AFLPP+CD,2,8529,18
546,bsdtar,AFLPP+CD,2,8533,19
547,bsdtar,AFLPP+CD,2,8568,20
548,bsdtar,AFLPP+CD,2,8574,21
549,bsdtar,AFLPP+CD,2,8583,22
550,bsdtar,AFLPP+CD,2,8585,23
551,bsdtar,AFLPP+CD,2,8643,24
552,bsdtar,AFLPP+CD,3,3146,1
553,bsdtar,AFLPP+CD,3,4340,2
554,bsdtar,AFLPP+CD,3,4829,3
555,bsdtar,AFLPP+CD,3,5369,4
556,bsdtar,AFLPP+CD,3,5673,5
557,bsdtar,AFLPP+CD,3,6019,6
558,bsdtar,AFLPP+CD,3,6073,7
559,bsdtar,AFLPP+CD,3,6230,8
560,bsdtar,AFLPP+CD,3,6288,9
561,bsdtar,AFLPP+CD,3,6392,10
562,bsdtar,AFLPP+CD,3,7052,11
563,bsdtar,AFLPP+CD,3,7089,12
564,bsdtar,AFLPP+CD,3,7153,13
565,bsdtar,AFLPP+CD,3,7163,14
566,bsdtar,AFLPP+CD,3,7173,15
567,bsdtar,AFLPP+CD,3,7194,16
568,bsdtar,AFLPP+CD,3,7223,17
569,bsdtar,AFLPP+CD,3,7226,18
570,bsdtar,AFLPP+CD,3,7305,19
571,bsdtar,AFLPP+CD,3,7310,20
572,bsdtar,AFLPP+CD,3,7311,21
573,bsdtar,AFLPP+CD,3,7313,22
574,bsdtar,AFLPP+CD,3,7339,23
575,bsdtar,AFLPP+CD,3,7344,24
576,bsdtar,AFLPP+CD,4,3901,1
577,bsdtar,AFLPP+CD,4,4827,2
578,bsdtar,AFLPP+CD,4,5178,3
579,bsdtar,AFLPP+CD,4,5613,4
580,bsdtar,AFLPP+CD,4,5676,5
581,bsdtar,AFLPP+CD,4,6047,6
582,bsdtar,AFLPP+CD,4,6361,7
583,bsdtar,AFLPP+CD,4,6724,8
584,bsdtar,AFLPP+CD,4,6988,9
585,bsdtar,AFLPP+CD,4,7074,10
586,bsdtar,AFLPP+CD,4,7698,11
587,bsdtar,AFLPP+CD,4,8183,12
588,bsdtar,AFLPP+CD,4,8407,13
589,bsdtar,AFLPP+CD,4,8440,14
590,bsdtar,AFLPP+CD,4,8465,15
591,bsdtar,AFLPP+CD,4,8474,16
592,bsdtar,AFLPP+CD,4,8486,17
593,bsdtar,AFLPP+CD,4,8529,18
594,bsdtar,AFLPP+CD,4,8550,19
595,bsdtar,AFLPP+CD,4,8553,20
596,bsdtar,AFLPP+CD,4,8720,21
597,bsdtar,AFLPP+CD,4,8720,22
598,bsdtar,AFLPP+CD,4,8752,23
599,bsdtar,AFLPP+CD,4,8764,24
600,bsdtar,AFLPP+CD,5,3558,1
601,bsdtar,AFLPP+CD,5,4401,2
602,bsdtar,AFLPP+CD,5,4631,3
603,bsdtar,AFLPP+CD,5,5032,4
604,bsdtar,AFLPP+CD,5,5275,5
605,bsdtar,AFLPP+CD,5,5932,6
606,bsdtar,AFLPP+CD,5,6315,7
607,bsdtar,AFLPP+CD,5,6440,8
608,bsdtar,AFLPP+CD,5,6567,9
609,bsdtar,AFLPP+CD,5,6748,10
610,bsdtar,AFLPP+CD,5,6809,11
611,bsdtar,AFLPP+CD,5,6816,12
612,bsdtar,AFLPP+CD,5,6822,13
613,bsdtar,AFLPP+CD,5,6828,14
614,bsdtar,AFLPP+CD,5,6853,15
615,bsdtar,AFLPP+CD,5,6864,16
616,bsdtar,AFLPP+CD,5,6976,17
617,bsdtar,AFLPP+CD,5,7077,18
618,bsdtar,AFLPP+CD,5,7088,19
619,bsdtar,AFLPP+CD,5,7089,20
