,project,fuzzer,run,nodes_reached,nodes_flipped
193,nm-new,HasteFuzz+C,002,1940,1055
194,nm-new,HasteFuzz+C,008,1929,1011
195,nm-new,HasteFuzz+C,005,1899,1011
196,nm-new,HasteFuzz+C,009,1993,1067
197,nm-new,HasteFuzz+C,007,1963,1051
198,nm-new,HasteFuzz+C,001,1963,1019
199,nm-new,HasteFuzz+C,000,1772,827
200,ffmpeg,AFLPP+CD,004,10471,4391
201,ffmpeg,AFLPP+CD,006,9439,4269
202,ffmpeg,AFLPP+CD,003,9417,4007
203,ffmpeg,AFLPP+CD,002,8286,3546
204,ffmpeg,AFLPP+CD,008,9476,4417
205,ffmpeg,AFLPP+CD,005,7674,3198
206,ffmpeg,AFLPP+CD,009,8410,3595
207,ffmpeg,AFLPP+CD,007,8537,3938
208,ffmpeg,AFLPP+CD,001,8515,3702
209,ffmpeg,AFLPP+CD,000,8850,4149
210,ffmpeg,AFLPP+C,004,8740,4327
211,ffmpeg,AFLPP+C,006,8593,4115
212,ffmpeg,AFLPP+C,003,8520,4233
213,ffmpeg,AFLPP+C,002,9930,5026
214,ffmpeg,AFLPP+C,008,8127,4031
215,ffmpeg,AFLPP+C,005,10542,5481
216,ffmpeg,AFLPP+C,009,8136,4211
217,ffmpeg,AFLPP+C,007,8795,4479
218,ffmpeg,AFLPP+C,001,9463,4619
219,ffmpeg,AFLPP+C,000,8371,4257
220,objdump,AFLPP+CD,004,2390,1166
221,objdump,AFLPP+CD,006,2574,1260
222,objdump,AFLPP+CD,003,2547,1283
223,objdump,AFLPP+CD,002,2531,1246
224,objdump,AFLPP+CD,008,2628,1329
225,objdump,AFLPP+CD,005,2500,1254
226,objdump,AFLPP+CD,009,2592,1300
227,objdump,AFLPP+CD,007,2579,1291
228,objdump,AFLPP+CD,001,2497,1252
229,objdump,AFLPP+CD,000,2521,1285
230,exiv2,AFLPP+CD,004,5022,1313
231,exiv2,AFLPP+CD,006,5604,1450
232,exiv2,AFLPP+CD,003,5836,1573
233,exiv2,AFLPP+CD,002,5467,1532
234,exiv2,AFLPP+CD,008,5651,1433
235,exiv2,AFLPP+CD,005,5803,1570
236,exiv2,AFLPP+CD,009,6216,1715
237,exiv2,AFLPP+CD,007,5344,1310
238,exiv2,AFLPP+CD,001,5732,1532
239,exiv2,AFLPP+CD,000,5498,1392
240,tcpdump,AFLPP+C,004,6803,3523
241,tcpdump,AFLPP+C,006,6795,3524
242,tcpdump,AFLPP+C,003,6574,3482
243,tcpdump,AFLPP+C,002,6789,3479
244,tcpdump,AFLPP+C,008,7317,3842
245,tcpdump,AFLPP+C,005,6622,3337
246,tcpdump,AFLPP+C,009,6666,3429
247,tcpdump,AFLPP+C,007,6787,3478
248,tcpdump,AFLPP+C,001,6755,3395
249,tcpdump,AFLPP+C,000,6780,3470
250,objdump,AFLPP,004,2078,997
251,objdump,AFLPP,006,2124,1026
252,objdump,AFLPP,003,2127,1024
253,objdump,AFLPP,002,2089,994
254,objdump,AFLPP,008,2037,971
255,objdump,AFLPP,005,2091,1016
256,objdump,AFLPP,009,2026,966
257,objdump,AFLPP,007,2308,1140
258,objdump,AFLPP,001,2023,958
259,objdump,AFLPP,000,2066,1008
260,readelf,AFLPP+CD,004,1183,717
261,readelf,AFLPP+CD,006,1374,912
262,readelf,AFLPP+CD,003,1444,985
263,readelf,AFLPP+CD,002,1343,922
264,readelf,AFLPP+CD,008,1251,794
265,readelf,AFLPP+CD,005,1080,663
266,readelf,AFLPP+CD,009,1403,986
267,readelf,AFLPP+CD,007,1372,961
268,readelf,AFLPP+CD,001,1352,954
269,readelf,AFLPP+CD,000,1482,1037
270,tiff2ps,HasteFuzz+C,004,2114,1019
271,tiff2ps,HasteFuzz+C,006,2026,947
272,tiff2ps,HasteFuzz+C,003,2098,1016
273,tiff2ps,HasteFuzz+C,002,2081,1005
274,tiff2ps,HasteFuzz+C,008,2110,1030
275,tiff2ps,HasteFuzz+C,005,2112,1027
276,tiff2ps,HasteFuzz+C,009,2059,983
277,tiff2ps,HasteFuzz+C,007,2127,1038
278,tiff2ps,HasteFuzz+C,001,2038,967
279,tiff2ps,HasteFuzz+C,000,2121,1024
280,pdftotext,HasteFuzz+CD,004,1378,411
281,pdftotext,HasteFuzz+CD,006,1461,500
282,pdftotext,HasteFuzz+CD,003,1382,453
283,pdftotext,HasteFuzz+CD,002,1356,436
284,pdftotext,HasteFuzz+CD,008,1487,446
285,pdftotext,HasteFuzz+CD,005,1494,453
286,pdftotext,HasteFuzz+CD,009,1360,451
287,pdftotext,HasteFuzz+CD,007,1022,357
288,pdftotext,HasteFuzz+CD,001,1349,434
289,pdftotext,HasteFuzz+CD,000,1414,454
290,size,HasteFuzz,004,1134,575
291,size,HasteFuzz,006,1110,560
292,size,HasteFuzz,003,1186,589
293,size,HasteFuzz,002,1162,555
294,size,HasteFuzz,008,1169,570
295,size,HasteFuzz,005,1123,529
296,size,HasteFuzz,009,1110,550
297,size,HasteFuzz,007,1151,587
298,size,HasteFuzz,001,1068,531
299,size,HasteFuzz,000,1224,591
300,exiv2,HasteFuzz+C,004,4295,1030
301,exiv2,HasteFuzz+C,006,3796,921
302,exiv2,HasteFuzz+C,003,4582,1085
303,exiv2,HasteFuzz+C,002,4389,1044
304,exiv2,HasteFuzz+C,008,4618,1103
305,exiv2,HasteFuzz+C,005,3609,812
306,exiv2,HasteFuzz+C,009,4521,1069
307,exiv2,HasteFuzz+C,007,4342,1060
308,exiv2,HasteFuzz+C,001,4304,1032
309,exiv2,HasteFuzz+C,000,4028,928
310,tiff2ps,FOX,004,2205,1138
311,tiff2ps,FOX,006,2189,1127
312,tiff2ps,FOX,003,2142,1098
313,tiff2ps,FOX,002,2131,1060
314,tiff2ps,FOX,008,2112,1070
315,tiff2ps,FOX,005,2126,1072
316,tiff2ps,FOX,009,2173,1123
317,tiff2ps,FOX,007,2206,1125
