,project,fuzzer,run,edges_found
252,tcpdump,FOX-BASE,003,4977
253,tcpdump,FOX-BASE,002,4147
254,tcpdump,FOX-BASE,008,4791
255,tcpdump,FOX-BASE,005,3987
256,tcpdump,FOX-BASE,009,4887
257,tcpdump,FOX-BASE,007,5151
258,tcpdump,FOX-BASE,001,4762
259,tcpdump,FOX-BASE,000,3998
260,nm-new,FOX,004,3021
261,nm-new,FOX,006,3177
262,nm-new,FOX,003,2848
263,nm-new,FOX,002,3419
264,nm-new,FOX,008,2779
265,nm-new,FOX,005,2764
266,nm-new,FOX,009,2823
267,nm-new,FOX,007,2982
268,nm-new,FOX,001,3389
269,nm-new,FOX,000,3294
270,tiffcrop,FOX,004,7134
271,tiffcrop,FOX,006,7051
272,tiffcrop,FOX,003,6926
273,tiffcrop,FOX,002,6924
274,tiffcrop,FOX,008,7037
275,tiffcrop,FOX,005,7620
276,tiffcrop,FOX,009,6758
277,tiffcrop,FOX,007,6996
278,tiffcrop,FOX,001,6616
279,tiffcrop,FOX,000,6884
280,strip-new,FOX,004,5594
281,strip-new,FOX,006,5013
282,strip-new,FOX,003,5934
283,strip-new,FOX,002,4683
284,strip-new,FOX,008,5424
285,strip-new,FOX,005,4747
286,strip-new,FOX,009,5138
287,strip-new,FOX,007,6023
288,strip-new,FOX,001,6135
289,strip-new,FOX,000,6064
290,objdump,FOX-BASE,004,3631
291,objdump,FOX-BASE,006,3844
292,objdump,FOX-BASE,003,3620
293,objdump,FOX-BASE,002,3676
294,objdump,FOX-BASE,008,3509
295,objdump,FOX-BASE,005,3695
296,objdump,FOX-BASE,009,3717
297,objdump,FOX-BASE,007,3587
298,objdump,FOX-BASE,001,3804
299,objdump,FOX-BASE,000,3632
300,readelf,FOX-SCHED,004,3098
301,readelf,FOX-SCHED,006,3194
302,readelf,FOX-SCHED,003,3062
303,readelf,FOX-SCHED,002,3194
304,readelf,FOX-SCHED,008,3192
305,readelf,FOX-SCHED,005,3201
306,readelf,FOX-SCHED,009,3234
307,readelf,FOX-SCHED,007,3187
308,readelf,FOX-SCHED,001,3081
309,readelf,FOX-SCHED,000,3078
310,tiff2pdf,FOX-BASE,004,5403
311,tiff2pdf,FOX-BASE,006,5436
312,tiff2pdf,FOX-BASE,003,5968
313,tiff2pdf,FOX-BASE,002,5759
