,hour,project,fuzzer,run,control_size
220,5,objdump,hastefuzz_cmplog,000,2752.0
221,6,objdump,hastefuzz_cmplog,000,2911.0
222,7,objdump,hastefuzz_cmplog,000,3167.0
223,8,objdump,hastefuzz_cmplog,000,3324.0
224,9,objdump,hastefuzz_cmplog,000,3436.0
225,10,objdump,hastefuzz_cmplog,000,3534.0
226,11,objdump,hastefuzz_cmplog,000,3617.0
227,12,objdump,hastefuzz_cmplog,000,3675.0
228,13,objdump,hastefuzz_cmplog,000,3739.0
229,14,objdump,hastefuzz_cmplog,000,3767.0
230,15,objdump,hastefuzz_cmplog,000,3794.0
231,16,objdump,hastefuzz_cmplog,000,3824.0
232,17,objdump,hastefuzz_cmplog,000,3837.0
233,18,objdump,hastefuzz_cmplog,000,3853.0
234,19,objdump,hastefuzz_cmplog,000,3859.0
235,20,objdump,hastefuzz_cmplog,000,3884.0
236,21,objdump,hastefuzz_cmplog,000,3900.0
237,22,objdump,hastefuzz_cmplog,000,3951.0
238,23,objdump,hastefuzz_cmplog,000,4028.0
239,24,objdump,hastefuzz_cmplog,000,4076.0
240,1,libxslt,cmplog_dict,004,9447.0
241,2,libxslt,cmplog_dict,004,10400.0
242,3,libxslt,cmplog_dict,004,11179.0
243,4,libxslt,cmplog_dict,004,11724.0
244,5,libxslt,cmplog_dict,004,12165.0
245,6,libxslt,cmplog_dict,004,12477.0
246,7,libxslt,cmplog_dict,004,12782.0
247,8,libxslt,cmplog_dict,004,13052.0
248,9,libxslt,cmplog_dict,004,13386.0
249,10,libxslt,cmplog_dict,004,13642.0
250,11,libxslt,cmplog_dict,004,13859.0
251,12,libxslt,cmplog_dict,004,14042.0
252,13,libxslt,cmplog_dict,004,14198.0
253,14,libxslt,cmplog_dict,004,14360.0
254,15,libxslt,cmplog_dict,004,14510.0
255,16,libxslt,cmplog_dict,004,14641.0
256,17,libxslt,cmplog_dict,004,14769.0
257,18,libxslt,cmplog_dict,004,14870.0
258,19,libxslt,cmplog_dict,004,14980.0
259,20,libxslt,cmplog_dict,004,15097.0
260,21,libxslt,cmplog_dict,004,15178.0
261,22,libxslt,cmplog_dict,004,15251.0
262,23,libxslt,cmplog_dict,004,15410.0
263,24,libxslt,cmplog_dict,004,15496.0
264,1,libxslt,cmplog_dict,006,9500.0
265,2,libxslt,cmplog_dict,006,10523.0
266,3,libxslt,cmplog_dict,006,11039.0
267,4,libxslt,cmplog_dict,006,11388.0
268,5,libxslt,cmplog_dict,006,11716.0
269,6,libxslt,cmplog_dict,006,11965.0
270,7,libxslt,cmplog_dict,006,12233.0
271,8,libxslt,cmplog_dict,006,12547.0
272,9,libxslt,cmplog_dict,006,12798.0
273,10,libxslt,cmplog_dict,006,13035.0
274,11,libxslt,cmplog_dict,006,13343.0
275,12,libxslt,cmplog_dict,006,13592.0
276,13,libxslt,cmplog_dict,006,13787.0
277,14,libxslt,cmplog_dict,006,14041.0
278,15,libxslt,cmplog_dict,006,14252.0
279,16,libxslt,cmplog_dict,006,14401.0
280,17,libxslt,cmplog_dict,006,14532.0
